test,value,pnl,sharpe,drawdown
Latency,0,0,0.0,0.0
Latency,1,0,0.0,0.0
Latency,2,0,0.0,0.0
Slippage,0.0,0,0.0,0.0
Slippage,0.05,0,0.0,0.0
Slippage,0.1,0,0.0,0.0
Nightmare,L1+S5,0,0.0,0.0
